"","year_week","Am. Indian","Asian","Black","Hispanic","NULL","Other","Unknown","White","Other/Unkown","Black_Percent","White_Percent","Hispanic_Percent","Asian_Percent","Other/Unkown_Percen"
"1",2020-03-16,0,0,4,1,0,0,0,7,0,0.333333333333333,0.583333333333333,0.0833333333333333,0,0
"2",2020-03-23,0,2,41,9,1,1,1,22,3,0.532467532467532,0.285714285714286,0.116883116883117,0.025974025974026,0.038961038961039
"3",2020-03-30,0,4,130,24,0,3,3,58,6,0.585585585585586,0.261261261261261,0.108108108108108,0.018018018018018,0.027027027027027
"4",2020-04-06,1,10,176,42,0,5,2,108,8,0.511627906976744,0.313953488372093,0.122093023255814,0.0290697674418605,0.0232558139534884
"5",2020-04-13,0,16,176,82,0,7,3,156,10,0.4,0.354545454545455,0.186363636363636,0.0363636363636364,0.0227272727272727
"6",2020-04-20,0,22,181,87,2,9,2,186,13,0.370143149284254,0.380368098159509,0.177914110429448,0.0449897750511247,0.0265848670756646
"7",2020-04-27,0,20,171,62,4,11,1,237,16,0.337944664031621,0.468379446640316,0.122529644268775,0.0395256916996047,0.0316205533596838
"8",2020-05-04,0,30,154,90,2,7,2,262,11,0.281535648994516,0.478976234003656,0.164533820840951,0.0548446069469835,0.020109689213894
"9",2020-05-11,1,26,136,147,1,8,0,182,10,0.271457085828343,0.363273453093812,0.293413173652695,0.0518962075848303,0.0199600798403194
"10",2020-05-18,0,20,99,117,2,4,2,158,8,0.246268656716418,0.393034825870647,0.291044776119403,0.0497512437810945,0.0199004975124378
"11",2020-05-25,0,8,86,79,2,3,3,138,8,0.269592476489028,0.432601880877743,0.247648902821317,0.0250783699059561,0.0250783699059561
"12",2020-06-01,0,15,76,68,1,2,2,119,5,0.268551236749117,0.420494699646643,0.240282685512367,0.0530035335689046,0.0176678445229682
"13",2020-06-08,0,18,58,48,0,3,2,84,5,0.272300469483568,0.394366197183099,0.225352112676056,0.0845070422535211,0.0234741784037559
"14",2020-06-15,0,8,46,57,1,2,2,59,5,0.262857142857143,0.337142857142857,0.325714285714286,0.0457142857142857,0.0285714285714286
"15",2020-06-22,0,1,22,31,0,4,0,39,4,0.22680412371134,0.402061855670103,0.319587628865979,0.0103092783505155,0.0412371134020619
"16",2020-06-29,0,9,21,20,0,2,1,36,3,0.235955056179775,0.404494382022472,0.224719101123595,0.101123595505618,0.0337078651685393
"17",2020-07-06,0,2,20,18,0,1,1,27,2,0.289855072463768,0.391304347826087,0.260869565217391,0.0289855072463768,0.0289855072463768
"18",2020-07-13,0,1,13,8,0,2,0,27,2,0.254901960784314,0.529411764705882,0.156862745098039,0.0196078431372549,0.0392156862745098
"19",2020-07-20,0,3,13,12,0,1,0,17,1,0.282608695652174,0.369565217391304,0.260869565217391,0.0652173913043478,0.0217391304347826
"20",2020-07-27,0,2,13,11,0,2,0,12,2,0.325,0.3,0.275,0.05,0.05
"21",2020-08-03,0,1,8,10,0,1,0,13,1,0.242424242424242,0.393939393939394,0.303030303030303,0.0303030303030303,0.0303030303030303
"22",2020-08-10,0,3,14,12,0,0,0,17,0,0.304347826086957,0.369565217391304,0.260869565217391,0.0652173913043478,0
"23",2020-08-17,0,0,9,13,0,1,0,16,1,0.230769230769231,0.41025641025641,0.333333333333333,0,0.0256410256410256
"24",2020-08-24,0,3,12,7,0,2,0,17,2,0.292682926829268,0.414634146341463,0.170731707317073,0.0731707317073171,0.0487804878048781
"25",2020-08-31,0,0,7,12,0,1,0,11,1,0.225806451612903,0.354838709677419,0.387096774193548,0,0.032258064516129
"26",2020-09-07,0,1,8,17,0,0,0,13,0,0.205128205128205,0.333333333333333,0.435897435897436,0.0256410256410256,0
"27",2020-09-14,0,1,7,7,0,2,0,23,2,0.175,0.575,0.175,0.025,0.05
"28",2020-09-21,0,2,8,19,0,2,0,10,2,0.195121951219512,0.24390243902439,0.463414634146341,0.0487804878048781,0.0487804878048781
"29",2020-09-28,0,0,8,13,0,4,0,18,4,0.186046511627907,0.418604651162791,0.302325581395349,0,0.0930232558139535
"30",2020-10-05,0,3,12,10,0,1,0,28,1,0.222222222222222,0.518518518518518,0.185185185185185,0.0555555555555556,0.0185185185185185
"31",2020-10-12,0,1,17,15,0,0,0,30,0,0.26984126984127,0.476190476190476,0.238095238095238,0.0158730158730159,0
"32",2020-10-19,0,3,14,17,1,1,0,41,2,0.181818181818182,0.532467532467532,0.220779220779221,0.038961038961039,0.025974025974026
"33",2020-10-26,0,5,20,21,0,4,1,54,5,0.19047619047619,0.514285714285714,0.2,0.0476190476190476,0.0476190476190476
"34",2020-11-02,1,4,30,41,0,4,2,106,7,0.159574468085106,0.563829787234043,0.218085106382979,0.0212765957446809,0.0372340425531915
"35",2020-11-09,0,1,61,59,1,7,0,119,8,0.245967741935484,0.479838709677419,0.237903225806452,0.00403225806451613,0.032258064516129
"36",2020-11-16,0,12,60,85,0,1,1,169,2,0.182926829268293,0.515243902439024,0.259146341463415,0.0365853658536585,0.00609756097560976
"37",2020-11-23,0,9,76,62,0,5,1,180,6,0.228228228228228,0.540540540540541,0.186186186186186,0.027027027027027,0.018018018018018
"38",2020-11-30,0,14,84,105,2,7,3,191,12,0.206896551724138,0.470443349753695,0.258620689655172,0.0344827586206897,0.0295566502463054
"39",2020-12-07,1,16,77,75,1,10,0,176,12,0.216292134831461,0.49438202247191,0.210674157303371,0.0449438202247191,0.0337078651685393
"40",2020-12-14,0,11,71,84,1,10,1,176,12,0.200564971751412,0.497175141242938,0.23728813559322,0.0310734463276836,0.0338983050847458
"41",2020-12-21,0,17,75,60,1,3,3,172,7,0.226586102719033,0.51963746223565,0.181268882175227,0.0513595166163142,0.0211480362537764
"42",2020-12-28,0,18,73,79,1,2,1,159,4,0.219219219219219,0.477477477477477,0.237237237237237,0.0540540540540541,0.012012012012012
"43",2021-01-04,0,16,50,52,1,1,3,115,5,0.210084033613445,0.483193277310924,0.218487394957983,0.0672268907563025,0.0210084033613445
"44",2021-01-11,1,11,48,43,1,2,2,106,6,0.224299065420561,0.495327102803738,0.200934579439252,0.0514018691588785,0.0280373831775701
"45",2021-01-18,0,15,43,50,2,4,3,97,9,0.200934579439252,0.453271028037383,0.233644859813084,0.0700934579439252,0.0420560747663551
"46",2021-01-25,0,6,42,42,0,4,0,66,4,0.2625,0.4125,0.2625,0.0375,0.025
"47",2021-02-01,1,7,29,22,0,4,0,50,5,0.256637168141593,0.442477876106195,0.194690265486726,0.0619469026548673,0.0442477876106195
"48",2021-02-08,0,6,28,32,0,3,0,59,3,0.21875,0.4609375,0.25,0.046875,0.0234375
"49",2021-02-15,0,0,10,12,0,2,0,24,2,0.208333333333333,0.5,0.25,0,0.0416666666666667
